7.930 ,11.102 ,12.521 ,19.239 ,3.233 ,5.771 ,5.690 ,11.391 ,6.020 ,13.810 
5.037 ,13.375 ,16.024 ,5.774 ,4.744 ,10.644 ,10.628 ,7.668 ,5.742 ,3.690 
9.972 ,9.938 ,7.328 ,9.107 ,8.554 ,11.904 ,8.393 ,15.732 ,5.898 ,4.738 
8.262 ,14.135 ,4.081 ,17.826 ,15.843 ,16.458 ,12.027 ,18.653 ,20.672 ,5.130 
11.905 ,4.864 ,15.945 ,12.149 ,10.478 ,5.350 ,6.813 ,11.444 ,10.190 ,6.728 
12.358 ,18.086 ,6.657 ,11.886 ,14.478 ,12.647 ,7.490 ,10.956 ,4.851 ,15.171 
9.961 ,12.631 ,8.805 ,6.576 ,9.271 ,14.042 ,7.626 ,5.038 ,4.400 ,6.075 
25.162 ,13.995 ,11.738 ,8.211 ,7.512 ,9.286 ,7.769 ,5.404 ,10.152 ,11.886 
8.000 ,6.766 ,7.132 ,12.043 ,10.293 ,13.909 ,9.450 ,16.546 ,15.028 ,13.292 
14.072 ,7.735 ,11.051 ,10.294 ,8.814 ,9.819 ,12.789 ,7.404 ,9.217 ,11.387 
