   7.9303334e+00   1.1102095e+01   1.2521258e+01   1.9238848e+01   3.2327950e+00   5.7713088e+00   5.6896644e+00   1.1391276e+01   6.0200113e+00   1.3810035e+01
   5.0371187e+00   1.3375090e+01   1.6023810e+01   5.7743500e+00   4.7444817e+00   1.0643935e+01   1.0628449e+01   7.6681925e+00   5.7417170e+00   3.6896347e+00
   9.9719805e+00   9.9380759e+00   7.3280484e+00   9.1073635e+00   8.5543529e+00   1.1903790e+01   8.3932867e+00   1.5732286e+01   5.8976266e+00   4.7375401e+00
   8.2616798e+00   1.4134885e+01   4.0814372e+00   1.7825510e+01   1.5843000e+01   1.6457594e+01   1.2027101e+01   1.8653493e+01   2.0671957e+01   5.1301964e+00
   1.1905481e+01   4.8641781e+00   1.5945094e+01   1.2149110e+01   1.0478450e+01   5.3501675e+00   6.8130691e+00   1.1443946e+01   1.0190006e+01   6.7281635e+00
   1.2358190e+01   1.8085961e+01   6.6572983e+00   1.1886005e+01   1.4478257e+01   1.2647085e+01   7.4901117e+00   1.0956002e+01   4.8508592e+00   1.5170932e+01
   9.9608323e+00   1.2631075e+01   8.8053634e+00   6.5755804e+00   9.2711267e+00   1.4042467e+01   7.6256720e+00   5.0378714e+00   4.3997881e+00   6.0746049e+00
   2.5161539e+01   1.3995480e+01   1.1737820e+01   8.2107784e+00   7.5124403e+00   9.2857602e+00   7.7690685e+00   5.4038974e+00   1.0152249e+01   1.1885933e+01
   7.9998113e+00   6.7658869e+00   7.1317682e+00   1.2042791e+01   1.0293124e+01   1.3909410e+01   9.4503590e+00   1.6546235e+01   1.5027874e+01   1.3292357e+01
   1.4071957e+01   7.7350614e+00   1.1050756e+01   1.0293668e+01   8.8137559e+00   9.8186889e+00   1.2788503e+01   7.4036533e+00   9.2170498e+00   1.1386728e+01
